experiment_id,mission_id,objective,status,execution_time_s,transition_latency_s
S2_trial_01,mission_001,point1,SUCCEEDED,32.919725,0.000000
S2_trial_01,mission_001,point2,SUCCEEDED,14.933111,0.000008
S2_trial_01,mission_001,home,SUCCEEDED,41.512755,0.000006
