timestamp,monotonic_time_s,experiment_id,mission_id,state,event,current_objective,remaining_objectives,mission_queue_size,distance_remaining_m,note
2026-08-11T14:58:41.562,2120.113311,exp2,mission_004,MISSION_CANCELED,STATE_TRANSITION,,[],0,,NAVIGATING -> MISSION_CANCELED. mission_004 canceled
2026-08-11T14:58:41.567,2120.119017,exp2,,IDLE,STATE_TRANSITION,,[],0,,MISSION_CANCELED -> IDLE. mission_004 canceled and cleared
2026-08-11T14:58:58.084,2136.635528,exp2,,IDLE,MISSION_ENQUEUED,,[],1,,mission_005: ['point1']
2026-08-11T14:58:58.085,2136.636772,exp2,mission_005,IDLE,MISSION_STARTED,,"[""point1""]",0,,Queue wait: 0.001684 s
2026-08-11T14:58:58.086,2136.637703,exp2,mission_005,MISSION_RECEIVED,STATE_TRANSITION,,"[""point1""]",0,,IDLE -> MISSION_RECEIVED. mission_005 started
2026-08-11T14:58:58.087,2136.638725,exp2,mission_005,MISSION_RECEIVED,OBJECTIVE_SELECTED,point1,[],0,,Transition latency: 0.000000 s
2026-08-11T14:58:58.088,2136.639889,exp2,mission_005,MISSION_RECEIVED,GOAL_SENT,point1,[],0,,Goal sent to point1
2026-08-11T14:58:58.091,2136.642571,exp2,mission_005,MISSION_RECEIVED,GOAL_ACCEPTED,point1,[],0,,
2026-08-11T14:58:58.092,2136.643716,exp2,mission_005,NAVIGATING,STATE_TRANSITION,point1,[],0,,MISSION_RECEIVED -> NAVIGATING. Navigating to point1
2026-08-11T14:59:29.424,2167.975363,exp2,mission_005,NAVIGATING,OBJECTIVE_FAILED,point1,[],0,0.000,Execution time: 31.337294 s
2026-08-11T14:59:29.425,2167.976678,exp2,mission_005,MISSION_FAILED,STATE_TRANSITION,,[],0,,NAVIGATING -> MISSION_FAILED. Navigation aborted
2026-08-11T14:59:29.427,2167.978518,exp2,,IDLE,STATE_TRANSITION,,[],0,,MISSION_FAILED -> IDLE. mission_005 terminated
2026-08-11T14:59:56.243,2194.795204,exp2,,IDLE,MISSION_REJECTED,,[],0,,Invalid objective(s): point10
