timestamp,monotonic_time_s,experiment_id,mission_id,state,event,current_objective,remaining_objectives,mission_queue_size,distance_remaining_m,note
2026-08-11T14:28:31.285,309.836360,exp1,,IDLE,STATE_TRANSITION,,[],0,,IDLE -> IDLE. Mission Manager initialized
2026-08-11T14:29:38.783,377.334312,exp1,,IDLE,MISSION_ENQUEUED,,[],1,,mission_001: ['point1']
2026-08-11T14:29:38.784,377.335390,exp1,mission_001,IDLE,MISSION_STARTED,,"[""point1""]",0,,Queue wait: 0.001569 s
2026-08-11T14:29:38.785,377.336240,exp1,mission_001,MISSION_RECEIVED,STATE_TRANSITION,,"[""point1""]",0,,IDLE -> MISSION_RECEIVED. mission_001 started
2026-08-11T14:29:38.786,377.337580,exp1,mission_001,MISSION_RECEIVED,OBJECTIVE_SELECTED,point1,[],0,,Transition latency: 0.000000 s
2026-08-11T14:29:38.787,377.338777,exp1,mission_001,MISSION_RECEIVED,GOAL_SENT,point1,[],0,,Goal sent to point1
2026-08-11T14:29:38.797,377.348742,exp1,mission_001,MISSION_RECEIVED,GOAL_ACCEPTED,point1,[],0,,
2026-08-11T14:29:38.798,377.350037,exp1,mission_001,NAVIGATING,STATE_TRANSITION,point1,[],0,,MISSION_RECEIVED -> NAVIGATING. Navigating to point1
2026-08-11T14:30:10.263,408.815171,exp1,mission_001,NAVIGATING,OBJECTIVE_SUCCEEDED,point1,[],0,0.246,Execution time: 31.478197 s
2026-08-11T14:30:10.265,408.816550,exp1,mission_001,MISSION_COMPLETED,STATE_TRANSITION,,[],0,,NAVIGATING -> MISSION_COMPLETED. mission_001 completed
2026-08-11T14:30:10.268,408.820167,exp1,,IDLE,STATE_TRANSITION,,[],0,,MISSION_COMPLETED -> IDLE. mission_001 finished
2026-08-11T14:30:30.151,428.702734,exp1,,IDLE,MISSION_ENQUEUED,,[],1,,"mission_002: ['point1', 'point2', 'point3']"
2026-08-11T14:30:30.152,428.703995,exp1,mission_002,IDLE,MISSION_STARTED,,"[""point1"", ""point2"", ""point3""]",0,,Queue wait: 0.001755 s
2026-08-11T14:30:30.154,428.705998,exp1,mission_002,MISSION_RECEIVED,STATE_TRANSITION,,"[""point1"", ""point2"", ""point3""]",0,,IDLE -> MISSION_RECEIVED. mission_002 started
2026-08-11T14:30:30.155,428.707058,exp1,mission_002,MISSION_RECEIVED,OBJECTIVE_SELECTED,point1,"[""point2"", ""point3""]",0,,Transition latency: 0.000000 s
2026-08-11T14:30:30.157,428.708242,exp1,mission_002,MISSION_RECEIVED,GOAL_SENT,point1,"[""point2"", ""point3""]",0,,Goal sent to point1
2026-08-11T14:30:30.161,428.712304,exp1,mission_002,MISSION_RECEIVED,GOAL_ACCEPTED,point1,"[""point2"", ""point3""]",0,,
2026-08-11T14:30:30.162,428.713575,exp1,mission_002,NAVIGATING,STATE_TRANSITION,point1,"[""point2"", ""point3""]",0,,MISSION_RECEIVED -> NAVIGATING. Navigating to point1
2026-08-11T14:30:30.285,428.837061,exp1,mission_002,NAVIGATING,OBJECTIVE_SUCCEEDED,point1,"[""point2"", ""point3""]",0,0.246,Execution time: 0.130658 s
2026-08-11T14:30:30.287,428.838313,exp1,mission_002,NAVIGATING,OBJECTIVE_SELECTED,point2,"[""point3""]",0,,Transition latency: 0.000008 s
2026-08-11T14:30:30.288,428.839467,exp1,mission_002,NAVIGATING,GOAL_SENT,point2,"[""point3""]",0,,Goal sent to point2
2026-08-11T14:30:30.289,428.841067,exp1,mission_002,NAVIGATING,GOAL_ACCEPTED,point2,"[""point3""]",0,,
2026-08-11T14:30:46.226,444.777548,exp1,mission_002,NAVIGATING,OBJECTIVE_SUCCEEDED,point2,"[""point3""]",0,0.251,Execution time: 15.940180 s
2026-08-11T14:30:46.227,444.778766,exp1,mission_002,NAVIGATING,OBJECTIVE_SELECTED,point3,[],0,,Transition latency: 0.000008 s
2026-08-11T14:30:46.228,444.779857,exp1,mission_002,NAVIGATING,GOAL_SENT,point3,[],0,,Goal sent to point3
2026-08-11T14:30:46.233,444.785138,exp1,mission_002,NAVIGATING,GOAL_ACCEPTED,point3,[],0,,
2026-08-11T14:30:53.861,452.412986,exp1,mission_002,NAVIGATING,OBJECTIVE_SUCCEEDED,point3,[],0,0.315,Execution time: 7.635121 s
2026-08-11T14:30:53.863,452.414319,exp1,mission_002,MISSION_COMPLETED,STATE_TRANSITION,,[],0,,NAVIGATING -> MISSION_COMPLETED. mission_002 completed
2026-08-11T14:30:53.869,452.421214,exp1,,IDLE,STATE_TRANSITION,,[],0,,MISSION_COMPLETED -> IDLE. mission_002 finished
2026-08-11T14:31:16.204,474.755636,exp1,,IDLE,MISSION_ENQUEUED,,[],1,,"mission_003: ['point2', 'point1', 'home']"
2026-08-11T14:31:16.206,474.757458,exp1,mission_003,IDLE,MISSION_STARTED,,"[""point2"", ""point1"", ""home""]",0,,Queue wait: 0.001974 s
2026-08-11T14:31:16.207,474.759119,exp1,mission_003,MISSION_RECEIVED,STATE_TRANSITION,,"[""point2"", ""point1"", ""home""]",0,,IDLE -> MISSION_RECEIVED. mission_003 started
2026-08-11T14:31:16.209,474.761046,exp1,mission_003,MISSION_RECEIVED,OBJECTIVE_SELECTED,point2,"[""point1"", ""home""]",0,,Transition latency: 0.000000 s
2026-08-11T14:31:16.212,474.763568,exp1,mission_003,MISSION_RECEIVED,GOAL_SENT,point2,"[""point1"", ""home""]",0,,Goal sent to point2
2026-08-11T14:31:16.224,474.775392,exp1,mission_003,MISSION_RECEIVED,GOAL_ACCEPTED,point2,"[""point1"", ""home""]",0,,
2026-08-11T14:31:16.245,474.797078,exp1,mission_003,NAVIGATING,STATE_TRANSITION,point2,"[""point1"", ""home""]",0,,MISSION_RECEIVED -> NAVIGATING. Navigating to point2
2026-08-11T14:31:31.253,489.805021,exp1,mission_003,NAVIGATING,OBJECTIVE_SUCCEEDED,point2,"[""point1"", ""home""]",0,0.237,Execution time: 15.040576 s
2026-08-11T14:31:31.255,489.806372,exp1,mission_003,NAVIGATING,OBJECTIVE_SELECTED,point1,"[""home""]",0,,Transition latency: 0.000011 s
2026-08-11T14:31:31.256,489.807590,exp1,mission_003,NAVIGATING,GOAL_SENT,point1,"[""home""]",0,,Goal sent to point1
2026-08-11T14:31:31.272,489.823938,exp1,mission_003,NAVIGATING,GOAL_ACCEPTED,point1,"[""home""]",0,,
2026-08-11T14:31:49.590,508.141644,exp1,mission_003,NAVIGATING,OBJECTIVE_SUCCEEDED,point1,"[""home""]",0,0.245,Execution time: 18.336282 s
2026-08-11T14:31:49.591,508.143049,exp1,mission_003,NAVIGATING,OBJECTIVE_SELECTED,home,[],0,,Transition latency: 0.000008 s
2026-08-11T14:31:49.593,508.145047,exp1,mission_003,NAVIGATING,GOAL_SENT,home,[],0,,Goal sent to home
2026-08-11T14:31:49.598,508.149538,exp1,mission_003,NAVIGATING,GOAL_ACCEPTED,home,[],0,,
2026-08-11T14:32:22.666,541.218187,exp1,mission_003,NAVIGATING,OBJECTIVE_SUCCEEDED,home,[],0,0.262,Execution time: 33.076217 s
2026-08-11T14:32:22.668,541.219883,exp1,mission_003,MISSION_COMPLETED,STATE_TRANSITION,,[],0,,NAVIGATING -> MISSION_COMPLETED. mission_003 completed
2026-08-11T14:32:22.672,541.223397,exp1,,IDLE,STATE_TRANSITION,,[],0,,MISSION_COMPLETED -> IDLE. mission_003 finished
2026-08-11T14:34:55.014,693.565969,exp1,,IDLE,MISSION_ENQUEUED,,[],1,,mission_004: ['point1']
2026-08-11T14:34:55.015,693.567187,exp1,mission_004,IDLE,MISSION_STARTED,,"[""point1""]",0,,Queue wait: 0.001630 s
2026-08-11T14:34:55.023,693.574720,exp1,mission_004,MISSION_RECEIVED,STATE_TRANSITION,,"[""point1""]",0,,IDLE -> MISSION_RECEIVED. mission_004 started
